t=0.001 sw=2 flow=1 pkt=1 | [12:11:20.419] [bmv2] [D] [thread 70000] [1.0] [cxt 0] Looking up key:
t=0.001 sw=2 flow=1 pkt=1 | [12:11:20.419] [bmv2] [D] [thread 70000] [1.0] [cxt 0] Table 'tbl_log_probe106': miss
t=0.001 sw=2 flow=1 pkt=1 | [12:11:20.419] [bmv2] [D] [thread 70000] [1.0] [cxt 0] Action entry is log_probe106 - 
t=0.001 sw=2 flow=1 pkt=1 | [12:11:20.419] [bmv2] [T] [thread 70000] [1.0] [cxt 0] Action log_probe106
t=0.001 sw=2 flow=1 pkt=1 | [12:11:20.419] [bmv2] [T] [thread 70000] [1.0] [cxt 0] log_probe.p4(106) Primitive shared_counters.read(n, 32w0)
t=0.001 sw=2 flow=1 pkt=1 | [12:11:20.419] [bmv2] [T] [thread 70000] [1.0] [cxt 0] Read register 'shared_counters' at index 0 read value 3
t=0.001 sw=2 flow=1 pkt=1 | [12:11:20.419] [bmv2] [T] [thread 70000] [1.0] [cxt 0] log_probe.p4(107) Primitive n + 1
t=0.001 sw=2 flow=1 pkt=1 | [12:11:20.419] [bmv2] [T] [thread 70000] [1.0] [cxt 0] log_probe.p4(107) Primitive shared_counters.write(32w0, n + 1)
t=0.001 sw=2 flow=1 pkt=1 | [12:11:20.419] [bmv2] [T] [thread 70000] [1.0] [cxt 0] Wrote register 'shared_counters' at index 0 with value 4
t=0.001 sw=2 flow=1 pkt=1 | [12:11:20.419] [bmv2] [T] [thread 70000] [1.0] [cxt 0] log_probe.p4(111) Primitive shared_counters.read(e, 32w1)
t=0.001 sw=2 flow=1 pkt=1 | [12:11:20.419] [bmv2] [T] [thread 70000] [1.0] [cxt 0] Read register 'shared_counters' at index 1 read value 1
t=0.001 sw=2 flow=1 pkt=1 | [12:11:20.419] [bmv2] [T] [thread 70000] [1.0] [cxt 0] log_probe.p4(112) Primitive e + 1
t=0.001 sw=2 flow=1 pkt=1 | [12:11:20.419] [bmv2] [T] [thread 70000] [1.0] [cxt 0] log_probe.p4(112) Primitive shared_counters.write(32w1, e + 1)
t=0.001 sw=2 flow=1 pkt=1 | [12:11:20.419] [bmv2] [T] [thread 70000] [1.0] [cxt 0] Wrote register 'shared_counters' at index 1 with value 2
t=0.001 sw=2 flow=1 pkt=1 | [12:11:20.419] [bmv2] [D] [thread 70000] [1.0] [cxt 0] Pipeline 'egress': end
t=0.001 sw=2 flow=1 pkt=1 | [12:11:20.419] [bmv2] [D] [thread 70000] [1.0] [cxt 0] Deparser 'deparser': start
t=0.001 sw=2 flow=1 pkt=1 | [12:11:20.419] [bmv2] [D] [thread 70000] [1.0] [cxt 0] Deparsing header 'ethernet'
t=0.001 sw=2 flow=1 pkt=1 | [12:11:20.419] [bmv2] [D] [thread 70000] [1.0] [cxt 0] Deparsing header 'ipv4'
t=0.001 sw=2 flow=1 pkt=1 | [12:11:20.419] [bmv2] [D] [thread 70000] [1.0] [cxt 0] Deparser 'deparser': end
