time,flow_id,packet_id,size,sent_time,one_way_delay
1.000073386,65537,0,1000,1,7.33859999999531e-05
1.0000817259999999,65538,0,1000,1,8.1725999999893162e-05
1.000090046,65537,1,1000,1.0000100000000001,8.0045999999889261e-05
1.0000983859999999,65538,1,1000,1.0000100000000001,8.8385999999829323e-05
1.0001067260000001,65537,2,1000,1.0000199999999999,8.6726000000147963e-05
1.0001150560000001,65538,2,1000,1.0000199999999999,9.5056000000148799e-05
1.000123396,65537,3,1000,1.00003,9.3396000000023349e-05
1.000131726,65538,3,1000,1.00003,0.00010172600000002419
1.0001400659999999,65537,4,1000,1.00004,0.00010006599999989874
1.0001484060000001,65538,4,1000,1.00004,0.00010840600000006084
1.0001567360000001,65537,5,1000,1.0000500000000001,0.00010673599999999617
1.000165076,65538,5,1000,1.0000500000000001,0.00011507599999993623
1.000173406,65537,6,1000,1.0000599999999999,0.0001134060000000936
1.000181746,65538,6,1000,1.0000599999999999,0.00012174600000003366
1.0001900859999999,65537,7,1000,1.00007,0.00012008599999990821
1.0001984159999999,65538,7,1000,1.00007,0.00012841599999990905
1.0002067560000001,65537,8,1000,1.0000800000000001,0.00012675600000000564
1.0002150860000001,65538,8,1000,1.0000800000000001,0.00013508600000000648
1.000223426,65537,9,1000,1.0000899999999999,0.00013342600000010307
1.000231766,65538,9,1000,1.0000899999999999,0.00014176600000004314
1.000240096,65537,10,1000,1.0001,0.00014009599999997846
1.0002484359999999,65538,10,1000,1.0001,0.00014843599999991852
1.0002567659999999,65537,11,1000,1.0001100000000001,0.00014676599999985385
1.0002651060000001,65538,11,1000,1.0001100000000001,0.00015510600000001595
1.000273446,65537,12,1000,1.0001199999999999,0.00015344600000011255
1.000281776,65538,12,1000,1.0001199999999999,0.00016177600000011338
1.000290116,65537,13,1000,1.00013,0.00016011599999998793
1.000298446,65538,13,1000,1.00013,0.00016844599999998877
1.0003067859999999,65537,14,1000,1.00014,0.00016678599999986332
1.0003151260000001,65538,14,1000,1.00014,0.00017512600000002543
1.0003234560000001,65537,15,1000,1.0001500000000001,0.00017345599999996075
1.000331796,65538,15,1000,1.0001500000000001,0.00018179599999990081
1.000340126,65537,16,1000,1.0001599999999999,0.00018012600000005818
1.0003484659999999,65538,16,1000,1.0001599999999999,0.00018846599999999825
1.0003568060000001,65537,17,1000,1.00017,0.00018680600000009484
1.0003651360000001,65538,17,1000,1.00017,0.00019513600000009568
1.000373476,65537,18,1000,1.0001800000000001,0.00019347599999997023
1.000381806,65538,18,1000,1.0001800000000001,0.00020180599999997106
1.000390146,65537,19,1000,1.0001899999999999,0.00020014600000006766
1.0003984859999999,65538,19,1000,1.0001899999999999,0.00020848600000000772
1.0004068159999999,65537,20,1000,1.0002,0.00020681599999994305
1.0004151560000001,65538,20,1000,1.0002,0.00021515600000010515
1.0004234860000001,65537,21,1000,1.00021,0.00021348600000004048
1.000431826,65538,21,1000,1.00021,0.00022182599999998054
1.000440166,65537,22,1000,1.0002200000000001,0.00022016599999985509
1.000448496,65538,22,1000,1.0002200000000001,0.00022849599999985593
1.0004568359999999,65537,23,1000,1.00023,0.00022683599999995252
1.0004651659999999,65538,23,1000,1.00023,0.00023516599999995336
1.0004735060000001,65537,24,1000,1.00024,0.00023350600000004995
1.000481846,65538,24,1000,1.00024,0.00024184599999999001
1.000490176,65537,25,1000,1.0002500000000001,0.00024017599999992534
1.0004985159999999,65538,25,1000,1.0002500000000001,0.0002485159999998654
1.0005068459999999,65537,26,1000,1.0002599999999999,0.00024684600000002277
1.0005151859999999,65538,26,1000,1.0002599999999999,0.00025518599999996283
1.0005235260000001,65537,27,1000,1.00027,0.00025352600000005943
1.0005318560000001,65538,27,1000,1.00027,0.00026185600000006026
1.000540196,65537,28,1000,1.0002800000000001,0.00026019599999993481
1.000548526,65538,28,1000,1.0002800000000001,0.00026852599999993565
1.0005568659999999,65537,29,1000,1.0002899999999999,0.00026686600000003224
1.0005652060000001,65538,29,1000,1.0002899999999999,0.00027520600000019435
1.0005735360000001,65537,30,1000,1.0003,0.00027353600000012968
1.000581876,65538,30,1000,1.0003,0.00028187600000006974
1.000590206,65537,31,1000,1.00031,0.00028020600000000506
1.000598546,65538,31,1000,1.00031,0.00028854599999994512
1.0006068859999999,65537,32,1000,1.0003200000000001,0.00028688599999981967
1.0006152159999999,65538,32,1000,1.0003200000000001,0.00029521599999982051
1.0006235560000001,65537,33,1000,1.0003299999999999,0.00029355600000013915
1.0006318860000001,65538,33,1000,1.0003299999999999,0.00030188600000013999
1.000640226,65537,34,1000,1.00034,0.00030022600000001454
1.000648566,65538,34,1000,1.00034,0.0003085659999999546
1.000656896,65537,35,1000,1.0003500000000001,0.00030689599999988992
1.0006652359999999,65538,35,1000,1.0003500000000001,0.00031523599999982999
1.0006735659999999,65537,36,1000,1.0003599999999999,0.00031356599999998735
1.0006819060000001,65538,36,1000,1.0003599999999999,0.00032190600000014946
1.000690246,65537,37,1000,1.00037,0.00032024600000002401
1.000698576,65538,37,1000,1.00037,0.00032857600000002485
1.0007069159999999,65537,38,1000,1.00038,0.0003269159999998994
1.0007152459999999,65538,38,1000,1.00038,0.00033524599999990023
1.0007235860000001,65537,39,1000,1.0003899999999999,0.00033358600000021887
1.000731926,65538,39,1000,1.0003899999999999,0.00034192600000015894
1.0007402560000001,65537,40,1000,1.0004,0.00034025600000009426
1.000748596,65538,40,1000,1.0004,0.00034859600000003432
1.000756926,65537,41,1000,1.00041,0.00034692599999996965
1.0007652659999999,65538,41,1000,1.00041,0.00035526599999990971
1.0007736060000001,65537,42,1000,1.0004200000000001,0.0003536060000000063
1.0007819360000001,65538,42,1000,1.0004200000000001,0.00036193600000000714
1.000790276,65537,43,1000,1.0004299999999999,0.00036027600000010374
1.000798606,65538,43,1000,1.0004299999999999,0.00036860600000010457
1.000806946,65537,44,1000,1.00044,0.00036694599999997912
1.0008152859999999,65538,44,1000,1.00044,0.00037528599999991918
1.0008236159999999,65537,45,1000,1.0004500000000001,0.00037361599999985451
1.0008319560000001,65538,45,1000,1.0004500000000001,0.00038195600000001662
1.0008402860000001,65537,46,1000,1.0004599999999999,0.00038028600000017398
1.000848626,65538,46,1000,1.0004599999999999,0.00038862600000011405
1.000856966,65537,47,1000,1.00047,0.0003869659999999886
1.000865296,65538,47,1000,1.00047,0.00039529599999998943
1.0008736359999999,65537,48,1000,1.00048,0.00039363599999986398
1.0008819659999999,65538,48,1000,1.00048,0.00040196599999986482
1.0008903060000001,65537,49,1000,1.0004900000000001,0.00040030599999996141
1.000898646,65538,49,1000,1.0004900000000001,0.00040864599999990148
1.000906976,65537,50,1000,1.0004999999999999,0.00040697600000005885
1.0009153159999999,65538,50,1000,1.0004999999999999,0.00041531599999999891
1.0009236459999999,65537,51,1000,1.00051,0.00041364599999993423
1.0009319860000001,65538,51,1000,1.00051,0.00042198600000009634
1.000940326,65537,52,1000,1.0005200000000001,0.00042032599999997089
1.000948656,65538,52,1000,1.0005200000000001,0.00042865599999997173
1.000956996,65537,53,1000,1.0005299999999999,0.00042699600000006832
1.000965326,65538,53,1000,1.0005299999999999,0.00043532600000006916
1.0009736659999999,65537,54,1000,1.00054,0.00043366599999994371
1.0009820060000001,65538,54,1000,1.00054,0.00044200600000010581
1.0009903360000001,65537,55,1000,1.0005500000000001,0.00044033600000004114
1.000998676,65538,55,1000,1.0005500000000001,0.0004486759999999812
1.001007006,65537,56,1000,1.0005599999999999,0.00044700600000013857
1.001015346,65538,56,1000,1.0005599999999999,0.00045534600000007863
1.0010236859999999,65537,57,1000,1.00057,0.00045368599999995318
1.0010320159999999,65538,57,1000,1.00057,0.00046201599999995402
