t=0 sw=0 flow=0 pkt=0 | [12:13:15.593] [bmv2] [D] [thread 70266] [0.0] [cxt 0] Parser 'parser': start
t=0 sw=0 flow=0 pkt=0 | [12:13:15.605] [bmv2] [D] [thread 70266] [0.0] [cxt 0] Parser 'parser' entering state 'start'
t=0 sw=0 flow=0 pkt=0 | [12:13:15.606] [bmv2] [D] [thread 70266] [0.0] [cxt 0] Extracting header 'ethernet'
t=0 sw=0 flow=0 pkt=0 | [12:13:15.609] [bmv2] [D] [thread 70266] [0.0] [cxt 0] Parser state 'start': key is 0800
t=0 sw=0 flow=0 pkt=0 | [12:13:15.610] [bmv2] [T] [thread 70266] [0.0] [cxt 0] Bytes parsed: 14
t=0 sw=0 flow=0 pkt=0 | [12:13:15.610] [bmv2] [D] [thread 70266] [0.0] [cxt 0] Parser 'parser' entering state 'parse_ipv4'
t=0 sw=0 flow=0 pkt=0 | [12:13:15.610] [bmv2] [D] [thread 70266] [0.0] [cxt 0] Extracting header 'ipv4'
t=0 sw=0 flow=0 pkt=0 | [12:13:15.611] [bmv2] [D] [thread 70266] [0.0] [cxt 0] Parser state 'parse_ipv4' has no switch, going to default next state
t=0 sw=0 flow=0 pkt=0 | [12:13:15.611] [bmv2] [T] [thread 70266] [0.0] [cxt 0] Bytes parsed: 34
t=0 sw=0 flow=0 pkt=0 | [12:13:15.612] [bmv2] [D] [thread 70266] [0.0] [cxt 0] Parser 'parser': end
t=0 sw=0 flow=0 pkt=0 | [12:13:15.613] [bmv2] [D] [thread 70266] [0.0] [cxt 0] Pipeline 'ingress': start
t=0 sw=0 flow=0 pkt=0 | [12:13:15.616] [bmv2] [T] [thread 70266] [0.0] [cxt 0] log_probe.p4(87) Condition "hdr.ipv4.isValid()" (node_2) is true
t=0 sw=0 flow=0 pkt=0 | [12:13:15.617] [bmv2] [T] [thread 70266] [0.0] [cxt 0] Applying table 'tbl_log_probe89'
t=0 sw=0 flow=0 pkt=0 | [12:13:15.619] [bmv2] [D] [thread 70266] [0.0] [cxt 0] Looking up key:
t=0 sw=0 flow=0 pkt=0 | [12:13:15.620] [bmv2] [D] [thread 70266] [0.0] [cxt 0] Table 'tbl_log_probe89': miss
t=0 sw=0 flow=0 pkt=0 | [12:13:15.620] [bmv2] [D] [thread 70266] [0.0] [cxt 0] Action entry is log_probe89 - 
