t=0 sw=1 flow=0 pkt=0 | [12:13:15.842] [bmv2] [D] [thread 70267] [0.0] [cxt 0] Table 'tbl_log_probe95': miss
t=0 sw=1 flow=0 pkt=0 | [12:13:15.842] [bmv2] [D] [thread 70267] [0.0] [cxt 0] Action entry is log_probe95 - 
t=0 sw=1 flow=0 pkt=0 | [12:13:15.842] [bmv2] [T] [thread 70267] [0.0] [cxt 0] Action log_probe95
t=0 sw=1 flow=0 pkt=0 | [12:13:15.843] [bmv2] [T] [thread 70267] [0.0] [cxt 0] log_probe.p4(95) Primitive             log_msg(\"INGRESS decided egress_spec={}\", {standard_metadata.egress_spec});
t=0 sw=1 flow=0 pkt=0 | [12:13:15.843] [bmv2] [T] [thread 70267] [0.0] [cxt 0] log_probe.p4(95) Primitive             log_msg(\"INGRESS decided egress_spec={}\", {standard_metadata.egress_spec});
t=0 sw=1 flow=0 pkt=0 | [12:13:15.843] [bmv2] [I] [thread 70267] INGRESS decided egress_spec=0
t=0 sw=1 flow=0 pkt=0 | [12:13:15.844] [bmv2] [D] [thread 70267] [0.0] [cxt 0] Pipeline 'ingress': end
t=0 sw=1 flow=0 pkt=0 | [12:13:15.844] [bmv2] [D] [thread 70267] [0.0] [cxt 0] Pipeline 'egress': start
t=0 sw=1 flow=0 pkt=0 | [12:13:15.844] [bmv2] [T] [thread 70267] [0.0] [cxt 0] log_probe.p4(103) Condition "hdr.ipv4.isValid()" (node_8) is true
t=0 sw=1 flow=0 pkt=0 | [12:13:15.844] [bmv2] [T] [thread 70267] [0.0] [cxt 0] Applying table 'tbl_log_probe106'
t=0 sw=1 flow=0 pkt=0 | [12:13:15.845] [bmv2] [D] [thread 70267] [0.0] [cxt 0] Looking up key:
t=0 sw=1 flow=0 pkt=0 | [12:13:15.845] [bmv2] [D] [thread 70267] [0.0] [cxt 0] Table 'tbl_log_probe106': miss
t=0 sw=1 flow=0 pkt=0 | [12:13:15.845] [bmv2] [D] [thread 70267] [0.0] [cxt 0] Action entry is log_probe106 - 
